filepath,label
augmented_dataset\dew\2343_aug.jpg,dew
augmented_dataset\dew\2344_aug.jpg,dew
augmented_dataset\dew\2345_aug.jpg,dew
augmented_dataset\dew\2346_aug.jpg,dew
augmented_dataset\dew\2347_aug.jpg,dew
augmented_dataset\dew\2348_aug.jpg,dew
augmented_dataset\dew\2349_aug.jpg,dew
augmented_dataset\dew\2350_aug.jpg,dew
augmented_dataset\dew\2351_aug.jpg,dew
augmented_dataset\dew\2352_aug.jpg,dew
augmented_dataset\dew\2353_aug.jpg,dew
augmented_dataset\dew\2354_aug.jpg,dew
augmented_dataset\dew\2355_aug.jpg,dew
augmented_dataset\dew\2356_aug.jpg,dew
augmented_dataset\dew\2357_aug.jpg,dew
augmented_dataset\dew\2358_aug.jpg,dew
augmented_dataset\dew\2359_aug.jpg,dew
augmented_dataset\dew\2360_aug.jpg,dew
augmented_dataset\dew\2361_aug.jpg,dew
augmented_dataset\dew\2362_aug.jpg,dew
augmented_dataset\dew\2363_aug.jpg,dew
augmented_dataset\dew\2364_aug.jpg,dew
augmented_dataset\dew\2365_aug.jpg,dew
augmented_dataset\dew\2366_aug.jpg,dew
augmented_dataset\dew\2367_aug.jpg,dew
augmented_dataset\dew\2368_aug.jpg,dew
augmented_dataset\dew\2369_aug.jpg,dew
augmented_dataset\dew\2370_aug.jpg,dew
augmented_dataset\dew\2371_aug.jpg,dew
augmented_dataset\dew\2372_aug.jpg,dew
augmented_dataset\dew\2373_aug.jpg,dew
augmented_dataset\dew\2374_aug.jpg,dew
augmented_dataset\dew\2375_aug.jpg,dew
augmented_dataset\dew\2376_aug.jpg,dew
augmented_dataset\dew\2377_aug.jpg,dew
augmented_dataset\dew\2378_aug.jpg,dew
augmented_dataset\dew\2379_aug.jpg,dew
augmented_dataset\dew\2380_aug.jpg,dew
augmented_dataset\dew\2381_aug.jpg,dew
augmented_dataset\dew\2382_aug.jpg,dew
augmented_dataset\dew\2383_aug.jpg,dew
augmented_dataset\dew\2384_aug.jpg,dew
augmented_dataset\dew\2385_aug.jpg,dew
augmented_dataset\dew\2386_aug.jpg,dew
augmented_dataset\dew\2387_aug.jpg,dew
augmented_dataset\dew\2388_aug.jpg,dew
augmented_dataset\dew\2389_aug.jpg,dew
augmented_dataset\dew\2390_aug.jpg,dew
augmented_dataset\dew\2391_aug.jpg,dew
augmented_dataset\dew\2392_aug.jpg,dew
augmented_dataset\dew\2393_aug.jpg,dew
augmented_dataset\dew\2394_aug.jpg,dew
augmented_dataset\dew\2395_aug.jpg,dew
augmented_dataset\dew\2396_aug.jpg,dew
augmented_dataset\dew\2397_aug.jpg,dew
augmented_dataset\dew\2398_aug.jpg,dew
augmented_dataset\dew\2399_aug.jpg,dew
augmented_dataset\dew\2400_aug.jpg,dew
augmented_dataset\dew\2401_aug.jpg,dew
augmented_dataset\dew\2402_aug.jpg,dew
augmented_dataset\dew\2403_aug.jpg,dew
augmented_dataset\dew\2404_aug.jpg,dew
augmented_dataset\dew\2405_aug.jpg,dew
augmented_dataset\dew\2406_aug.jpg,dew
augmented_dataset\dew\2407_aug.jpg,dew
augmented_dataset\dew\2408_aug.jpg,dew
augmented_dataset\dew\2409_aug.jpg,dew
augmented_dataset\dew\2410_aug.jpg,dew
augmented_dataset\dew\2411_aug.jpg,dew
augmented_dataset\dew\2412_aug.jpg,dew
augmented_dataset\dew\2413_aug.jpg,dew
augmented_dataset\dew\2414_aug.jpg,dew
augmented_dataset\dew\2415_aug.jpg,dew
augmented_dataset\dew\2416_aug.jpg,dew
augmented_dataset\dew\2417_aug.jpg,dew
augmented_dataset\dew\2418_aug.jpg,dew
augmented_dataset\dew\2419_aug.jpg,dew
augmented_dataset\dew\2420_aug.jpg,dew
augmented_dataset\dew\2421_aug.jpg,dew
augmented_dataset\dew\2422_aug.jpg,dew
augmented_dataset\dew\2423_aug.jpg,dew
augmented_dataset\dew\2424_aug.jpg,dew
augmented_dataset\dew\2425_aug.jpg,dew
augmented_dataset\dew\2426_aug.jpg,dew
augmented_dataset\dew\2427_aug.jpg,dew
augmented_dataset\dew\2428_aug.jpg,dew
augmented_dataset\dew\2429_aug.jpg,dew
augmented_dataset\dew\2430_aug.jpg,dew
augmented_dataset\dew\2431_aug.jpg,dew
augmented_dataset\dew\2432_aug.jpg,dew
augmented_dataset\dew\2433_aug.jpg,dew
augmented_dataset\dew\2434_aug.jpg,dew
augmented_dataset\dew\2435_aug.jpg,dew
augmented_dataset\dew\2436_aug.jpg,dew
augmented_dataset\dew\2437_aug.jpg,dew
augmented_dataset\dew\2438_aug.jpg,dew
augmented_dataset\dew\2439_aug.jpg,dew
augmented_dataset\dew\2440_aug.jpg,dew
augmented_dataset\dew\2441_aug.jpg,dew
augmented_dataset\dew\2442_aug.jpg,dew
augmented_dataset\dew\2443_aug.jpg,dew
augmented_dataset\dew\2444_aug.jpg,dew
augmented_dataset\dew\2445_aug.jpg,dew
augmented_dataset\dew\2446_aug.jpg,dew
augmented_dataset\dew\2447_aug.jpg,dew
augmented_dataset\dew\2448_aug.jpg,dew
augmented_dataset\dew\2449_aug.jpg,dew
augmented_dataset\dew\2450_aug.jpg,dew
augmented_dataset\dew\2451_aug.jpg,dew
augmented_dataset\dew\2452_aug.jpg,dew
augmented_dataset\dew\2453_aug.jpg,dew
augmented_dataset\dew\2454_aug.jpg,dew
augmented_dataset\dew\2455_aug.jpg,dew
augmented_dataset\dew\2456_aug.jpg,dew
augmented_dataset\dew\2457_aug.jpg,dew
augmented_dataset\dew\2458_aug.jpg,dew
augmented_dataset\dew\2459_aug.jpg,dew
augmented_dataset\dew\2460_aug.jpg,dew
augmented_dataset\dew\2461_aug.jpg,dew
augmented_dataset\dew\2462_aug.jpg,dew
augmented_dataset\dew\2463_aug.jpg,dew
augmented_dataset\dew\2464_aug.jpg,dew
augmented_dataset\dew\2465_aug.jpg,dew
augmented_dataset\dew\2466_aug.jpg,dew
augmented_dataset\dew\2467_aug.jpg,dew
augmented_dataset\dew\2468_aug.jpg,dew
augmented_dataset\dew\2469_aug.jpg,dew
augmented_dataset\dew\2470_aug.jpg,dew
augmented_dataset\dew\2471_aug.jpg,dew
augmented_dataset\dew\2472_aug.jpg,dew
augmented_dataset\dew\2473_aug.jpg,dew
augmented_dataset\dew\2474_aug.jpg,dew
augmented_dataset\dew\2475_aug.jpg,dew
augmented_dataset\dew\2476_aug.jpg,dew
augmented_dataset\dew\2477_aug.jpg,dew
augmented_dataset\dew\2478_aug.jpg,dew
augmented_dataset\dew\2479_aug.jpg,dew
augmented_dataset\dew\2480_aug.jpg,dew
augmented_dataset\dew\2481_aug.jpg,dew
augmented_dataset\dew\2482_aug.jpg,dew
augmented_dataset\dew\2483_aug.jpg,dew
augmented_dataset\dew\2484_aug.jpg,dew
augmented_dataset\dew\2485_aug.jpg,dew
augmented_dataset\dew\2486_aug.jpg,dew
augmented_dataset\dew\2487_aug.jpg,dew
augmented_dataset\dew\2488_aug.jpg,dew
augmented_dataset\dew\2489_aug.jpg,dew
augmented_dataset\dew\2490_aug.jpg,dew
augmented_dataset\dew\2491_aug.jpg,dew
augmented_dataset\dew\2492_aug.jpg,dew
augmented_dataset\dew\2493_aug.jpg,dew
augmented_dataset\dew\2494_aug.jpg,dew
augmented_dataset\dew\2495_aug.jpg,dew
augmented_dataset\dew\2496_aug.jpg,dew
augmented_dataset\dew\2497_aug.jpg,dew
augmented_dataset\dew\2498_aug.jpg,dew
augmented_dataset\dew\2499_aug.jpg,dew
augmented_dataset\dew\2500_aug.jpg,dew
augmented_dataset\dew\2501_aug.jpg,dew
augmented_dataset\dew\2502_aug.jpg,dew
augmented_dataset\dew\2503_aug.jpg,dew
augmented_dataset\dew\2504_aug.jpg,dew
augmented_dataset\dew\2505_aug.jpg,dew
augmented_dataset\dew\2506_aug.jpg,dew
augmented_dataset\dew\2507_aug.jpg,dew
augmented_dataset\dew\2508_aug.jpg,dew
augmented_dataset\dew\2509_aug.jpg,dew
augmented_dataset\dew\2510_aug.jpg,dew
augmented_dataset\dew\2511_aug.jpg,dew
augmented_dataset\dew\2512_aug.jpg,dew
augmented_dataset\dew\2513_aug.jpg,dew
augmented_dataset\dew\2514_aug.jpg,dew
augmented_dataset\dew\2515_aug.jpg,dew
augmented_dataset\dew\2516_aug.jpg,dew
augmented_dataset\dew\2517_aug.jpg,dew
augmented_dataset\dew\2518_aug.jpg,dew
augmented_dataset\dew\2519_aug.jpg,dew
augmented_dataset\dew\2520_aug.jpg,dew
augmented_dataset\dew\2521_aug.jpg,dew
augmented_dataset\dew\2522_aug.jpg,dew
augmented_dataset\dew\2523_aug.jpg,dew
augmented_dataset\dew\2524_aug.jpg,dew
augmented_dataset\dew\2525_aug.jpg,dew
augmented_dataset\dew\2526_aug.jpg,dew
augmented_dataset\dew\2527_aug.jpg,dew
augmented_dataset\dew\2528_aug.jpg,dew
augmented_dataset\dew\2529_aug.jpg,dew
augmented_dataset\dew\2530_aug.jpg,dew
augmented_dataset\dew\2531_aug.jpg,dew
augmented_dataset\dew\2532_aug.jpg,dew
augmented_dataset\dew\2533_aug.jpg,dew
augmented_dataset\dew\2534_aug.jpg,dew
augmented_dataset\dew\2535_aug.jpg,dew
augmented_dataset\dew\2536_aug.jpg,dew
augmented_dataset\dew\2537_aug.jpg,dew
augmented_dataset\dew\2538_aug.jpg,dew
augmented_dataset\dew\2539_aug.jpg,dew
augmented_dataset\dew\2540_aug.jpg,dew
augmented_dataset\dew\2541_aug.jpg,dew
augmented_dataset\dew\2542_aug.jpg,dew
augmented_dataset\dew\2543_aug.jpg,dew
augmented_dataset\dew\2544_aug.jpg,dew
augmented_dataset\dew\2545_aug.jpg,dew
augmented_dataset\dew\2546_aug.jpg,dew
augmented_dataset\dew\2547_aug.jpg,dew
augmented_dataset\dew\2548_aug.jpg,dew
augmented_dataset\dew\2549_aug.jpg,dew
augmented_dataset\dew\2550_aug.jpg,dew
augmented_dataset\dew\2551_aug.jpg,dew
augmented_dataset\dew\2552_aug.jpg,dew
augmented_dataset\dew\2553_aug.jpg,dew
augmented_dataset\dew\2554_aug.jpg,dew
augmented_dataset\dew\2555_aug.jpg,dew
augmented_dataset\dew\2556_aug.jpg,dew
augmented_dataset\dew\2557_aug.jpg,dew
augmented_dataset\dew\2558_aug.jpg,dew
augmented_dataset\dew\2559_aug.jpg,dew
augmented_dataset\dew\2560_aug.jpg,dew
augmented_dataset\dew\2561_aug.jpg,dew
augmented_dataset\dew\2562_aug.jpg,dew
augmented_dataset\dew\2563_aug.jpg,dew
augmented_dataset\dew\2564_aug.jpg,dew
augmented_dataset\dew\2565_aug.jpg,dew
augmented_dataset\dew\2566_aug.jpg,dew
augmented_dataset\dew\2567_aug.jpg,dew
augmented_dataset\dew\2568_aug.jpg,dew
augmented_dataset\dew\2569_aug.jpg,dew
augmented_dataset\dew\2570_aug.jpg,dew
augmented_dataset\dew\2571_aug.jpg,dew
augmented_dataset\dew\2572_aug.jpg,dew
augmented_dataset\dew\2573_aug.jpg,dew
augmented_dataset\dew\2574_aug.jpg,dew
augmented_dataset\dew\2575_aug.jpg,dew
augmented_dataset\dew\2576_aug.jpg,dew
augmented_dataset\dew\2577_aug.jpg,dew
augmented_dataset\dew\2578_aug.jpg,dew
augmented_dataset\dew\2579_aug.jpg,dew
augmented_dataset\dew\2580_aug.jpg,dew
augmented_dataset\dew\2581_aug.jpg,dew
augmented_dataset\dew\2582_aug.jpg,dew
augmented_dataset\dew\2583_aug.jpg,dew
augmented_dataset\dew\2584_aug.jpg,dew
augmented_dataset\dew\2585_aug.jpg,dew
augmented_dataset\dew\2586_aug.jpg,dew
augmented_dataset\dew\2587_aug.jpg,dew
augmented_dataset\dew\2588_aug.jpg,dew
augmented_dataset\dew\2589_aug.jpg,dew
augmented_dataset\dew\2590_aug.jpg,dew
augmented_dataset\dew\2591_aug.jpg,dew
augmented_dataset\dew\2592_aug.jpg,dew
augmented_dataset\dew\2593_aug.jpg,dew
augmented_dataset\dew\2594_aug.jpg,dew
augmented_dataset\dew\2595_aug.jpg,dew
augmented_dataset\dew\2596_aug.jpg,dew
augmented_dataset\dew\2597_aug.jpg,dew
augmented_dataset\dew\2598_aug.jpg,dew
augmented_dataset\dew\2599_aug.jpg,dew
augmented_dataset\dew\2600_aug.jpg,dew
augmented_dataset\dew\2601_aug.jpg,dew
augmented_dataset\dew\2602_aug.jpg,dew
augmented_dataset\dew\2603_aug.jpg,dew
augmented_dataset\dew\2604_aug.jpg,dew
augmented_dataset\dew\2605_aug.jpg,dew
augmented_dataset\dew\2606_aug.jpg,dew
augmented_dataset\dew\2607_aug.jpg,dew
augmented_dataset\dew\2608_aug.jpg,dew
augmented_dataset\dew\2609_aug.jpg,dew
augmented_dataset\dew\2610_aug.jpg,dew
augmented_dataset\dew\2611_aug.jpg,dew
augmented_dataset\dew\2612_aug.jpg,dew
augmented_dataset\dew\2613_aug.jpg,dew
augmented_dataset\dew\2614_aug.jpg,dew
augmented_dataset\dew\2615_aug.jpg,dew
augmented_dataset\dew\2616_aug.jpg,dew
augmented_dataset\dew\2617_aug.jpg,dew
augmented_dataset\dew\2618_aug.jpg,dew
augmented_dataset\dew\2619_aug.jpg,dew
augmented_dataset\dew\2620_aug.jpg,dew
augmented_dataset\dew\2621_aug.jpg,dew
augmented_dataset\dew\2622_aug.jpg,dew
augmented_dataset\dew\2623_aug.jpg,dew
augmented_dataset\dew\2624_aug.jpg,dew
augmented_dataset\dew\2625_aug.jpg,dew
augmented_dataset\dew\2626_aug.jpg,dew
augmented_dataset\dew\2627_aug.jpg,dew
augmented_dataset\dew\2628_aug.jpg,dew
augmented_dataset\dew\2629_aug.jpg,dew
augmented_dataset\dew\2630_aug.jpg,dew
augmented_dataset\dew\2631_aug.jpg,dew
augmented_dataset\dew\2632_aug.jpg,dew
augmented_dataset\dew\2633_aug.jpg,dew
augmented_dataset\dew\2634_aug.jpg,dew
augmented_dataset\dew\2635_aug.jpg,dew
augmented_dataset\dew\2636_aug.jpg,dew
augmented_dataset\dew\2637_aug.jpg,dew
augmented_dataset\dew\2638_aug.jpg,dew
augmented_dataset\dew\2639_aug.jpg,dew
augmented_dataset\dew\2640_aug.jpg,dew
augmented_dataset\dew\2641_aug.jpg,dew
augmented_dataset\dew\2642_aug.jpg,dew
augmented_dataset\dew\2643_aug.jpg,dew
augmented_dataset\dew\2644_aug.jpg,dew
augmented_dataset\dew\2645_aug.jpg,dew
augmented_dataset\dew\2646_aug.jpg,dew
augmented_dataset\dew\2647_aug.jpg,dew
augmented_dataset\dew\2648_aug.jpg,dew
augmented_dataset\dew\2649_aug.jpg,dew
augmented_dataset\dew\2650_aug.jpg,dew
augmented_dataset\dew\2651_aug.jpg,dew
augmented_dataset\dew\2652_aug.jpg,dew
augmented_dataset\dew\2653_aug.jpg,dew
augmented_dataset\dew\2654_aug.jpg,dew
augmented_dataset\dew\2655_aug.jpg,dew
augmented_dataset\dew\2656_aug.jpg,dew
augmented_dataset\dew\2657_aug.jpg,dew
augmented_dataset\dew\2658_aug.jpg,dew
augmented_dataset\dew\2659_aug.jpg,dew
augmented_dataset\dew\2660_aug.jpg,dew
augmented_dataset\dew\2661_aug.jpg,dew
augmented_dataset\dew\2662_aug.jpg,dew
augmented_dataset\dew\2663_aug.jpg,dew
augmented_dataset\dew\2664_aug.jpg,dew
augmented_dataset\dew\2665_aug.jpg,dew
augmented_dataset\dew\2666_aug.jpg,dew
augmented_dataset\dew\2667_aug.jpg,dew
augmented_dataset\dew\2668_aug.jpg,dew
augmented_dataset\dew\2669_aug.jpg,dew
augmented_dataset\dew\2670_aug.jpg,dew
augmented_dataset\dew\2671_aug.jpg,dew
augmented_dataset\dew\2672_aug.jpg,dew
augmented_dataset\dew\2673_aug.jpg,dew
augmented_dataset\dew\2674_aug.jpg,dew
augmented_dataset\dew\2675_aug.jpg,dew
augmented_dataset\dew\2676_aug.jpg,dew
augmented_dataset\dew\2677_aug.jpg,dew
augmented_dataset\dew\2678_aug.jpg,dew
augmented_dataset\dew\2679_aug.jpg,dew
augmented_dataset\dew\2680_aug.jpg,dew
augmented_dataset\dew\2681_aug.jpg,dew
augmented_dataset\dew\2682_aug.jpg,dew
augmented_dataset\dew\2683_aug.jpg,dew
augmented_dataset\dew\2684_aug.jpg,dew
augmented_dataset\dew\2685_aug.jpg,dew
augmented_dataset\dew\2686_aug.jpg,dew
augmented_dataset\dew\2687_aug.jpg,dew
augmented_dataset\dew\2688_aug.jpg,dew
augmented_dataset\dew\2689_aug.jpg,dew
augmented_dataset\dew\2690_aug.jpg,dew
augmented_dataset\dew\2691_aug.jpg,dew
augmented_dataset\dew\2692_aug.jpg,dew
augmented_dataset\dew\2693_aug.jpg,dew
augmented_dataset\dew\2694_aug.jpg,dew
augmented_dataset\dew\2695_aug.jpg,dew
augmented_dataset\dew\2696_aug.jpg,dew
augmented_dataset\dew\2697_aug.jpg,dew
augmented_dataset\dew\2698_aug.jpg,dew
augmented_dataset\dew\2699_aug.jpg,dew
augmented_dataset\dew\2700_aug.jpg,dew
augmented_dataset\dew\2701_aug.jpg,dew
augmented_dataset\dew\2702_aug.jpg,dew
augmented_dataset\dew\2703_aug.jpg,dew
augmented_dataset\dew\2704_aug.jpg,dew
augmented_dataset\dew\2705_aug.jpg,dew
augmented_dataset\dew\2706_aug.jpg,dew
augmented_dataset\dew\2707_aug.jpg,dew
augmented_dataset\dew\2708_aug.jpg,dew
augmented_dataset\dew\2709_aug.jpg,dew
augmented_dataset\dew\2710_aug.jpg,dew
augmented_dataset\dew\2711_aug.jpg,dew
augmented_dataset\dew\2712_aug.jpg,dew
augmented_dataset\dew\2713_aug.jpg,dew
augmented_dataset\dew\2714_aug.jpg,dew
augmented_dataset\dew\2715_aug.jpg,dew
augmented_dataset\dew\2716_aug.jpg,dew
augmented_dataset\dew\2717_aug.jpg,dew
augmented_dataset\dew\2718_aug.jpg,dew
augmented_dataset\dew\2719_aug.jpg,dew
augmented_dataset\dew\2720_aug.jpg,dew
augmented_dataset\dew\2721_aug.jpg,dew
augmented_dataset\dew\2722_aug.jpg,dew
augmented_dataset\dew\2723_aug.jpg,dew
augmented_dataset\dew\2724_aug.jpg,dew
augmented_dataset\dew\2725_aug.jpg,dew
augmented_dataset\dew\2726_aug.jpg,dew
augmented_dataset\dew\2727_aug.jpg,dew
augmented_dataset\dew\2728_aug.jpg,dew
augmented_dataset\dew\2729_aug.jpg,dew
augmented_dataset\dew\2730_aug.jpg,dew
augmented_dataset\dew\2731_aug.jpg,dew
augmented_dataset\dew\2732_aug.jpg,dew
augmented_dataset\dew\2733_aug.jpg,dew
augmented_dataset\dew\2734_aug.jpg,dew
augmented_dataset\dew\2735_aug.jpg,dew
augmented_dataset\dew\2736_aug.jpg,dew
augmented_dataset\dew\2737_aug.jpg,dew
augmented_dataset\dew\2738_aug.jpg,dew
augmented_dataset\dew\2739_aug.jpg,dew
augmented_dataset\dew\2740_aug.jpg,dew
augmented_dataset\dew\2741_aug.jpg,dew
augmented_dataset\dew\2742_aug.jpg,dew
augmented_dataset\dew\2743_aug.jpg,dew
augmented_dataset\dew\2744_aug.jpg,dew
augmented_dataset\dew\2745_aug.jpg,dew
augmented_dataset\dew\2746_aug.jpg,dew
augmented_dataset\dew\2747_aug.jpg,dew
augmented_dataset\dew\2748_aug.jpg,dew
augmented_dataset\dew\2749_aug.jpg,dew
augmented_dataset\dew\2750_aug.jpg,dew
augmented_dataset\dew\2751_aug.jpg,dew
augmented_dataset\dew\2752_aug.jpg,dew
augmented_dataset\dew\2753_aug.jpg,dew
augmented_dataset\dew\2754_aug.jpg,dew
augmented_dataset\dew\2755_aug.jpg,dew
augmented_dataset\dew\2756_aug.jpg,dew
augmented_dataset\dew\2757_aug.jpg,dew
augmented_dataset\dew\2758_aug.jpg,dew
augmented_dataset\dew\2759_aug.jpg,dew
augmented_dataset\dew\2760_aug.jpg,dew
augmented_dataset\dew\2761_aug.jpg,dew
augmented_dataset\dew\2762_aug.jpg,dew
augmented_dataset\dew\2763_aug.jpg,dew
augmented_dataset\dew\2764_aug.jpg,dew
augmented_dataset\dew\2765_aug.jpg,dew
augmented_dataset\dew\2766_aug.jpg,dew
augmented_dataset\dew\2767_aug.jpg,dew
augmented_dataset\dew\2768_aug.jpg,dew
augmented_dataset\dew\2769_aug.jpg,dew
augmented_dataset\dew\2770_aug.jpg,dew
augmented_dataset\dew\2771_aug.jpg,dew
augmented_dataset\dew\2772_aug.jpg,dew
augmented_dataset\dew\2773_aug.jpg,dew
augmented_dataset\dew\2774_aug.jpg,dew
augmented_dataset\dew\2775_aug.jpg,dew
augmented_dataset\dew\2776_aug.jpg,dew
augmented_dataset\dew\2777_aug.jpg,dew
augmented_dataset\dew\2778_aug.jpg,dew
augmented_dataset\dew\2779_aug.jpg,dew
augmented_dataset\dew\2780_aug.jpg,dew
augmented_dataset\dew\2781_aug.jpg,dew
augmented_dataset\dew\2782_aug.jpg,dew
augmented_dataset\dew\2783_aug.jpg,dew
augmented_dataset\dew\2784_aug.jpg,dew
augmented_dataset\dew\2785_aug.jpg,dew
augmented_dataset\dew\2786_aug.jpg,dew
augmented_dataset\dew\2787_aug.jpg,dew
augmented_dataset\dew\2788_aug.jpg,dew
augmented_dataset\dew\2789_aug.jpg,dew
